Module	Transcript_Id	Locus_Tag	GeneName	Expression_Fold_Change	Expression_Pvalue	KO_Id	COG	FoldChange_Module	FisherTest_Module	COG_Category
0	AAG03425	PA0035	trpA	0.16	0.012	K01695	COG0159	1.2359208523592085	0.048643446900543924	Amino acid transport and metabolism
0	AAG04452	PA1063	-	0.07	0.26	-	-	1.2359208523592085	0.048643446900543924	-
0	AAG04867	PA1478	-	0.18	0.62	K02196	COG3114	1.2359208523592085	0.048643446900543924	Intracellular trafficking and secretion
0	AAG05356	PA1968	-	0.16	0.52	-	-	1.2359208523592085	0.048643446900543924	-
0	AAG06733	PA3345	-	0.17	0.025	-	COG2198	1.2359208523592085	0.048643446900543924	Signal transduction mechanisms
0	AAG06851	PA3463	-	0.23	0.81	K09898	COG3089	1.2359208523592085	0.048643446900543924	Function unknown
0	AAG07919	PA4531	-	0.23	0.079	-	-	1.2359208523592085	0.048643446900543924	-
3	AAG03435	PA0045	-	0.22	0.049	-	COG1462	2.7651753494727256	6.581521679022114e-75	Cell envelope biogenesis, outer membrane
3	AAG03938	PA0549	-	0.23	0.013	-	-	2.7651753494727256	6.581521679022114e-75	-
3	AAG04338	PA0949	wrbA	0.22	0.014	K03809	COG0655	2.7651753494727256	6.581521679022114e-75	General function prediction only
3	AAG04505	PA1116	-	0.24	0.049	K00243	COG2996	2.7651753494727256	6.581521679022114e-75	General function prediction only
3	AAG06015	PA2627	-	0.21	0.045	K07153	COG2915	2.7651753494727256	6.581521679022114e-75	General function prediction only
3	AAG06367	PA2979	kdsB	0.2	0.023	K00979	COG1212	2.7651753494727256	6.581521679022114e-75	Cell envelope biogenesis, outer membrane
3	AAG06383	PA2995	nqrE	0.24	0.031	K00350	COG2209	2.7651753494727256	6.581521679022114e-75	Energy production and conversion
3	AAG06387	PA2999	nqrA	0.19	0.016	K00346	COG1726	2.7651753494727256	6.581521679022114e-75	Energy production and conversion
3	AAG06915	PA3527	pyrC	0.24	0.023	K01465	COG0418	2.7651753494727256	6.581521679022114e-75	Nucleotide transport and metabolism
3	AAG07211	PA3824	queA	0.24	0.022	K07568	COG0809	2.7651753494727256	6.581521679022114e-75	Translation, ribosomal structure and biogenesis
3	AAG07391	PA4004	-	0.23	0.094	K00783	COG1576	2.7651753494727256	6.581521679022114e-75	Function unknown
3	AAG08071	PA4684	-	0.17	0.019	-	-	2.7651753494727256	6.581521679022114e-75	-
3	AAG08729	PA5344	oxyR	0.23	0.025	K04761	COG0583	2.7651753494727256	6.581521679022114e-75	Transcription
3	AAG08937	PA5552	glmU	0.25	0.018	K04042	COG1207	2.7651753494727256	6.581521679022114e-75	Cell envelope biogenesis, outer membrane
8	AAG07139	PA3752	-	0.24	0.096	K06938	COG3313	3.227217015140591	3.507414393752974e-21	General function prediction only
10	AAG07870	PA4482	gatC	0.19	0.029	K02435	COG0721	2.7427284668793392	4.6142699380669436e-14	Translation, ribosomal structure and biogenesis
10	AAG08029	PA4642	-	0.17	0.016	-	-	2.7427284668793392	4.6142699380669436e-14	-
10	AAG08674	PA5289	-	0.14	0.25	K09806	COG2960	2.7427284668793392	4.6142699380669436e-14	Function unknown
11	AAG03403	PA0013	-	0.25	0.12	K09125	COG1738	1.6919930542157051	0.0002719955096454541	General function prediction only
11	AAG03982	PA0593	pdxA	0.22	0.044	K00097	COG1995	1.6919930542157051	0.0002719955096454541	Coenzyme metabolism
11	AAG08065	PA4678	rimI	0.08	0.016	K03789	COG0456	1.6919930542157051	0.0002719955096454541	General function prediction only
11	AAG08706	PA5321	-	0.15	0.085	K01520	COG0756	1.6919930542157051	0.0002719955096454541	Nucleotide transport and metabolism
16	AAG03477	PA0087	-	0.23	0.087	K11897	COG3518	1.4409713574097136	0.010892022354727962	Intracellular trafficking, secretion, and    vesicular transport
16	AAG03482	PA0092	-	0.23	0.081	-	-	1.4409713574097136	0.010892022354727962	-
16	AAG03516	PA0126	-	0.2	0.093	-	-	1.4409713574097136	0.010892022354727962	-
16	AAG05926	PA2538	-	0.16	0.028	-	-	1.4409713574097136	0.010892022354727962	-
16	AAG07875	PA4487	-	0.24	0.16	-	COG4676	1.4409713574097136	0.010892022354727962	Function unknown
16	AAG07878	PA4490	-	0.21	0.011	K09934	COG3234	1.4409713574097136	0.010892022354727962	Function unknown
18	AAG05869	PA2481	-	0.22	0.03	-	COG3258	2.1209658695147433	1.7827966888367296e-06	Energy production and conversion
19	AAG03916	PA0527	-	0.19	0.04	-	COG0664	1.1029022521476666	0.21945171345319267	Signal transduction mechanisms
27	AAG08735	PA5350	-	0.15	0.27	-	COG1773	1.3057772483621204	0.25122177256837275	Energy production and conversion
36	AAG05044	PA1655	-	0.25	0.11	K00799	COG0625	1.334794520547945	0.2890821731433429	Posttranslational modification, protein turnover, chaperones
